College,State,NAAC,Students,Course,Placement%,AvgSalaryLPA,Recruiters
Majumdar-Memon College,MH,A,3976,MCA,46.39,9.5,Accenture
Subramaniam LLC College,TN,A,513,B.Sc,74.94,12.75,TCS
"Singh, Kalla and Keer College",Delhi,A,645,MBA,71.81,16.34,TCS
Shanker-Wali College,MH,C,2362,MCA,84.32,9.41,Wipro
"Chhabra, Anne and Goda College",UP,B,2146,B.Tech,66.89,9.59,Accenture
Sharma Ltd College,Delhi,B,2538,B.Tech,56.95,6.06,Infosys
Bora-Dewan College,MH,B,3059,MBA,37.21,12.1,Accenture
"Karan, Chad and Luthra College",Delhi,A,2796,B.Sc,42.26,3.53,Deloitte
"Ravel, Srinivas and Mangat College",KA,B,3146,B.Sc,36.35,18.54,Wipro
"Wable, Guha and Kota College",KA,B,1871,MCA,97.92,7.83,Deloitte
Dutta-Sastry College,KA,C,1036,B.Sc,52.66,10.39,EY
Agate-Basak College,MH,B,2497,B.Sc,99.88,14.96,Deloitte
More PLC College,TN,C,2027,MBA,42.73,18.65,Infosys
"Dubey, Gokhale and Jain College",KA,A,4276,MCA,86.57,8.18,EY
"Chakraborty, Hora and Sundaram College",MH,A,4943,MCA,48.68,3.15,EY
"Bahri, Bhavsar and Kothari College",UP,B,1522,B.Sc,54.47,12.63,EY
Sarin Inc College,Delhi,B,2916,B.Sc,39.19,7.35,Accenture
Mannan-Kale College,WB,C,2627,MBA,68.53,6.21,EY
Merchant-Bhakta College,UP,A,1498,MBA,77.24,20,Wipro
"Mistry, Krishnamurthy and Krish College",WB,C,3878,B.Sc,95.25,19.94,Infosys
"Pathak, Bahl and Bhatnagar College",KA,B,4225,B.Tech,90.09,11.7,EY
Nadkarni Inc College,KA,A,1293,MBA,40.16,7.79,Deloitte
Sankaran Inc College,UP,C,4560,MCA,59.69,14.08,Infosys
Dugar-Master College,WB,B,3724,B.Sc,96.01,6.87,Infosys
"Mutti, Deshpande and Dar College",KA,C,2270,B.Tech,71.72,18.2,Accenture
Goswami PLC College,WB,B,2185,B.Sc,82.12,16.08,Infosys
"Mani, Khanna and Sarraf College",MH,B,2453,MBA,72.42,11.22,Accenture
Jayaraman-Bose College,TN,A,4014,MCA,43.58,7.33,TCS
Nayar PLC College,KA,B,2314,B.Sc,78.12,18.64,EY
Mahal and Sons College,MH,A,3777,B.Tech,66.37,11.43,TCS
"Soman, Dash and Mukhopadhyay College",MH,B,2048,B.Sc,52.23,6.61,EY
Naik LLC College,MH,B,3899,MBA,46.42,19.39,Wipro
Shanker-Sahni College,TN,A,4821,B.Sc,80.41,12.14,Accenture
Nori PLC College,Delhi,B,2526,MBA,51.71,18.92,Accenture
Singhal-Kala College,UP,A,3519,B.Sc,74.13,4.7,Accenture
Rana-Narang College,TN,C,639,B.Tech,53.74,4.93,Accenture
"Nair, Virk and De College",Delhi,B,1419,B.Sc,38.88,12.18,Accenture
Narula-Choudhry College,Delhi,C,2221,MCA,56.06,4.31,EY
"Dua, Sachar and Soman College",WB,C,3509,MBA,34.1,8.71,Wipro
Ahuja Ltd College,TN,B,1417,MCA,70,5.13,Wipro
"Dass, Ravel and Krishnamurthy College",Delhi,C,3221,MCA,96.93,6.51,Wipro
Devi PLC College,WB,A,1286,B.Sc,83.38,11.94,EY
"Yogi, Wali and Sampath College",TN,C,1510,B.Sc,45.27,7.28,Infosys
Bhavsar Ltd College,TN,A,3974,B.Sc,52.09,10.47,EY
"Bala, Thakkar and Kakar College",KA,B,4397,B.Tech,69.64,7.17,Wipro
Patla Ltd College,TN,B,3043,B.Tech,65.57,12.66,Deloitte
Madan-Parsa College,UP,C,4053,B.Sc,57.29,17.92,TCS
"Deshmukh, Rama and Borah College",Delhi,B,2707,B.Tech,52.01,16.84,Accenture
Manda-Comar College,MH,A,4006,MBA,47.07,9.72,Wipro
Sanghvi-Bera College,TN,C,4791,MBA,47.73,6.48,TCS
Sankaran Ltd College,TN,C,2222,B.Tech,97.87,6.86,Accenture
Kapadia Group College,TN,B,3164,MCA,96.73,19.25,Accenture
"Rastogi, Patel and Singh College",WB,C,2943,MCA,35.95,4.29,EY
Mishra LLC College,TN,B,4598,MCA,54.96,14.66,TCS
Gulati-Sandal College,KA,C,4435,B.Sc,52.15,10.85,EY
Rege-Malhotra College,Delhi,A,3575,B.Sc,81.07,9.41,Deloitte
Roy-Gopal College,Delhi,A,1051,MCA,84.46,8.51,Wipro
Dixit LLC College,UP,B,2966,MCA,54.44,14.88,Deloitte
"Parsa, Dixit and Reddy College",MH,B,3579,MCA,42.43,19.45,Accenture
Setty LLC College,TN,C,3019,B.Sc,33.4,4.25,Infosys
"Nayak, Balakrishnan and Raj College",TN,C,3382,MCA,45.06,15.52,Accenture
Kala LLC College,TN,A,2673,B.Tech,50.24,13,TCS
Savant-Verma College,UP,C,4289,MBA,49.12,9.26,EY
"Vaidya, Korpal and Patel College",MH,A,1228,B.Sc,89.61,17.23,Deloitte
Bhagat-Misra College,UP,B,3989,B.Sc,58.05,12.8,TCS
Sridhar-Krishnan College,MH,A,3803,MCA,97.36,3.73,Accenture
Zacharia-Arora College,KA,C,3264,MCA,71.67,18.78,Wipro
Dasgupta-Bala College,WB,A,2344,MCA,98.79,11.41,Deloitte
Contractor and Sons College,TN,B,3220,MCA,31.1,3.06,Infosys
Palan LLC College,MH,C,4033,B.Sc,87.05,4.33,Wipro
Srivastava Inc College,TN,A,3514,MCA,54.78,3.51,Wipro
Chhabra PLC College,KA,C,1021,MBA,41.91,11.54,Wipro
Goda-Srinivasan College,TN,A,2965,MCA,30.2,13.77,EY
Chaudhuri PLC College,WB,B,3002,B.Sc,79.33,6.5,Infosys
Thakkar Inc College,KA,A,3589,B.Sc,79.56,8.88,Wipro
Ramakrishnan PLC College,UP,C,3870,MCA,62.22,10.95,TCS
Dhaliwal-Sane College,UP,C,4914,MCA,58.77,12.03,Wipro
Butala-Wali College,MH,C,4090,B.Tech,53.38,7.31,Deloitte
Mukhopadhyay and Sons College,KA,A,2994,MBA,71.89,17.46,Wipro
Nigam and Sons College,WB,C,679,B.Sc,49.06,10.91,EY
Din-Sane College,Delhi,B,2030,B.Sc,42.05,6.54,EY
Sarraf Group College,WB,B,4047,MCA,43.62,16.17,Deloitte
"Talwar, Vala and Kunda College",UP,A,4373,MCA,67.73,16.85,Wipro
Biswas LLC College,WB,B,4151,B.Tech,68.75,16.12,Accenture
Nagy and Sons College,UP,C,1696,B.Sc,42.43,8.21,TCS
Mallick Ltd College,MH,A,1419,MBA,50.42,10,Infosys
Gulati-Trivedi College,TN,C,4980,B.Sc,54.81,14.46,Deloitte
Sant LLC College,TN,A,1133,MCA,55.18,18.69,Infosys
"Chacko, Kala and Chaudhary College",UP,A,2922,MCA,78.42,13.67,Deloitte
"Gulati, Seth and Nayar College",TN,B,1169,MCA,79.56,16.13,Infosys
Barad Group College,TN,A,4625,MBA,97.33,5.77,Wipro
Singh-Upadhyay College,KA,C,3334,B.Tech,76.35,12.29,TCS
Oommen Ltd College,UP,C,1926,MBA,97.38,13.47,TCS
Sandhu-Thakkar College,WB,C,1685,B.Tech,47.99,8.67,Infosys
"Kashyap, Sekhon and Mangal College",KA,C,3368,MCA,96.3,6.79,TCS
Iyengar-Saran College,WB,B,3119,MCA,63.83,7.55,Deloitte
Pall Ltd College,UP,A,2233,B.Sc,99.81,15.16,Wipro
Kapoor-Natt College,MH,A,4226,MBA,79.01,15.07,Wipro
"Loyal, Cherian and Nayar College",WB,A,2789,MCA,93.79,5.86,Accenture
"Choudhry, Dhar and Badal College",WB,C,614,B.Tech,52.11,16.37,Deloitte
Dhar PLC College,KA,A,4476,MCA,43.51,17.93,Accenture
Parsa-Sura College,Delhi,B,2364,MCA,94.29,10.9,EY
Karnik-Bhakta College,WB,C,585,B.Tech,63.63,16.7,Wipro
"Mody, Jhaveri and Purohit College",WB,C,1233,B.Sc,45.41,18.17,Deloitte
"Bhasin, Natt and Palla College",KA,A,4032,MCA,43.74,16.11,TCS
Kuruvilla Group College,TN,C,1592,MBA,87.77,4.09,Deloitte
Handa Ltd College,KA,A,4520,MCA,73.65,11,TCS
Rao-Parikh College,MH,A,636,MBA,56.53,19.87,TCS
"Raja, Dhar and Dayal College",WB,A,2649,B.Tech,30.64,3.7,Infosys
Chaudry PLC College,KA,B,3089,MBA,84.62,19.18,TCS
"Konda, Bansal and Rajan College",TN,B,1578,MCA,81.51,16.57,EY
Raj-Narayan College,MH,A,2772,B.Sc,73.85,19.31,Deloitte
"Kara, Borah and Ramachandran College",Delhi,B,4973,MCA,91.84,7.16,TCS
Sehgal-Hari College,MH,C,4508,MBA,88.57,12.91,TCS
Sangha LLC College,KA,A,1977,B.Tech,58.59,15.11,EY
Mital-Palla College,KA,A,4490,B.Sc,73.59,4.2,EY
Bahl-Vohra College,Delhi,A,3455,B.Sc,85.01,11.02,EY
Yohannan PLC College,MH,B,1318,MCA,54.23,6.16,Infosys
Khalsa LLC College,WB,C,3892,B.Sc,83.79,4.71,Infosys
Bhasin Ltd College,UP,B,1424,MBA,76.55,8.14,TCS
Golla-Tandon College,KA,C,869,MCA,70.75,7.73,TCS
Kumer PLC College,Delhi,A,4234,MCA,38.74,17.53,TCS
Parmar PLC College,MH,C,2716,MCA,58.18,19.38,Accenture
"Goswami, Suresh and Malhotra College",UP,C,4010,B.Tech,59.58,3.03,Wipro
Dixit-Khosla College,WB,B,908,MCA,55.37,14.93,Deloitte
Bhakta Ltd College,TN,A,1862,MCA,96.9,13.09,Accenture
D’Alia PLC College,KA,C,777,MCA,46.58,12.64,Wipro
"Ghosh, Kohli and Jayaraman College",Delhi,B,4817,MBA,50.55,13.78,Accenture
Suri-Dyal College,KA,A,1085,MBA,38.56,11.38,EY
Dara-Shan College,MH,A,4971,B.Tech,36.81,11.16,Wipro
"Patla, Char and Issac College",Delhi,A,4257,B.Tech,49.46,16.57,TCS
Verma Ltd College,KA,C,2978,MCA,90.36,11.09,TCS
Vyas-Panchal College,Delhi,B,3978,MCA,59.24,12.52,EY
"Kaur, Kothari and Iyer College",Delhi,C,3950,MBA,41.33,11.38,EY
Dora Group College,TN,B,4702,MBA,97.61,4.84,Accenture
"Majumdar, Ramaswamy and Patel College",MH,B,2582,B.Sc,53.53,6.19,Accenture
Shroff Group College,WB,C,3480,MBA,33.3,12.95,EY
Batra PLC College,UP,A,1097,B.Sc,90.98,3.83,Infosys
Basu Group College,UP,A,838,B.Tech,61.12,14.59,Infosys
"Parikh, Kalita and Vig College",KA,B,4649,MCA,31.41,3.44,Accenture
Choudhury-Murty College,UP,B,2554,B.Sc,53.69,9.85,EY
Patla-Sood College,UP,A,4442,MBA,58.62,9.68,TCS
"Thakkar, Saxena and Palla College",WB,C,1374,B.Tech,53.52,17.22,Deloitte
"Nagy, Varughese and Bawa College",MH,A,3261,B.Tech,50.31,15.51,TCS
Mani Inc College,KA,C,681,MBA,71.69,10.42,Infosys
"Lad, Choudhry and Varghese College",KA,A,1545,B.Tech,83.39,9.03,EY
"Prabhu, Koshy and Mitter College",MH,A,2752,B.Tech,78.54,14.63,Deloitte
"Dani, Naik and Golla College",WB,C,2990,B.Tech,33.65,17.99,Infosys
"Gala, Garde and Bajwa College",UP,C,2966,MCA,47.61,16.89,TCS
Bhardwaj-Sehgal College,MH,A,3288,MCA,92.13,7.19,TCS
"Sethi, Walia and Kala College",KA,C,653,MBA,63.47,11.45,Infosys
Choudhry-Mahal College,MH,A,3259,B.Tech,66.81,13.73,EY
Chaudhary-Uppal College,Delhi,A,1491,MCA,41.33,3.65,Infosys
Nadig Ltd College,MH,C,1069,MCA,37.76,14.22,TCS
"De, Sha and Hans College",MH,B,1802,MBA,90.07,11.67,Deloitte
Ahluwalia-Bora College,KA,C,4237,MCA,66.38,4.45,Wipro
"Bal, Sabharwal and Raju College",KA,A,980,B.Tech,84.63,14.33,Wipro
"Bajwa, Ben and Warrior College",MH,B,1416,B.Sc,88.22,16.77,TCS
Gade and Sons College,UP,C,3534,MCA,88.3,12.88,TCS
Jani and Sons College,WB,C,2042,B.Tech,44.37,18.55,EY
Loke-Divan College,WB,A,4252,MCA,50.76,7.61,Accenture
Choudhry-Yadav College,UP,C,4754,B.Sc,95.82,6.94,TCS
Sawhney and Sons College,Delhi,B,2069,B.Tech,43.19,12.87,TCS
Dhar-Mohanty College,UP,A,4183,B.Tech,68.79,8.68,Deloitte
Mittal-Chaudhry College,MH,C,1485,B.Tech,34.22,13.07,Deloitte
Barad Inc College,KA,B,2620,B.Sc,93.04,6.58,EY
Kuruvilla Ltd College,WB,B,3525,B.Sc,65.04,16.4,TCS
"Toor, Yogi and Uppal College",MH,C,1749,B.Tech,91.83,16.75,Accenture
"Sarkar, Thaman and Narayan College",UP,C,930,MBA,33.76,16.21,EY
Bhardwaj Inc College,UP,C,1609,MBA,96.18,10.15,TCS
Chandran PLC College,KA,A,983,MBA,40.85,3.72,Deloitte
Vyas-Raj College,KA,A,4606,B.Sc,66.26,12.65,Wipro
Apte-Srivastava College,UP,B,4108,MCA,80.61,6.51,Wipro
"Joshi, Kala and Dua College",MH,C,1547,MBA,73.62,19.77,TCS
"Apte, Nair and Ranganathan College",UP,C,1527,B.Tech,53.93,10.25,Accenture
Bera-Varma College,MH,A,2373,B.Sc,31.52,3.67,Wipro
"Chad, Dave and Pant College",WB,B,2704,MBA,37.1,10,Wipro
Hegde PLC College,Delhi,B,1932,B.Tech,90.68,15,Deloitte
"Ravel, Arya and Chauhan College",MH,C,2249,MBA,45.18,15.47,Accenture
"Dugar, Dewan and Gokhale College",KA,A,3918,MBA,43.84,6.98,EY
Suri and Sons College,UP,C,2760,B.Tech,62.69,15.22,TCS
"Varkey, Dhingra and Andra College",WB,C,1267,B.Sc,79.93,3.85,Wipro
Sehgal-Balasubramanian College,KA,B,2678,MBA,87.02,3.42,EY
"Palan, Madan and Sanghvi College",WB,B,924,MCA,56.48,11.57,Deloitte
"Gulati, Gola and Balasubramanian College",WB,A,1838,MCA,36.03,8.95,Deloitte
Aggarwal-Sangha College,Delhi,C,3580,B.Tech,53.13,10.66,EY
Bhardwaj-Sura College,KA,A,2940,B.Tech,91.12,19.81,Wipro
"Bhattacharyya, Ray and Balan College",Delhi,B,4358,B.Tech,39.05,9.18,TCS
"Wadhwa, Chaudhuri and Ramaswamy College",WB,A,4992,B.Sc,96.24,12.92,Deloitte
Sura Group College,Delhi,C,1540,B.Sc,87.51,6.56,Wipro
Dash-Nagarajan College,MH,B,1140,B.Tech,48.98,7.42,Accenture
Hora-Bail College,MH,A,3748,MBA,68.26,19.63,Deloitte
Zacharia-Bhasin College,UP,B,1935,MBA,34.78,11.55,EY
"Kadakia, Jhaveri and Mann College",TN,B,4533,B.Tech,52.41,4.94,Wipro
"Wable, Thakur and Raj College",MH,C,1806,B.Sc,87.19,11.74,Wipro
Swamy and Sons College,WB,C,594,MBA,71.5,19.29,TCS
Gulati LLC College,WB,B,2811,MBA,52,11.39,TCS
Char LLC College,KA,B,1602,B.Sc,97.39,14.13,Infosys
Banerjee-Divan College,UP,C,1051,MBA,39.44,15.26,TCS
Mand Inc College,TN,A,4622,B.Tech,51.78,15.74,Infosys
Kota PLC College,KA,A,3600,B.Sc,62.54,6.12,Wipro
Sood PLC College,UP,C,4741,B.Tech,95.33,13.34,Deloitte
"Mane, Karpe and Ramaswamy College",Delhi,A,1579,MCA,73.21,14.37,Infosys
"Bala, Talwar and Biswas College",UP,A,4152,MCA,50.27,19.13,EY
"Balay, Sha and Suresh College",KA,A,4750,B.Sc,80.87,9.14,Deloitte
Srinivas and Sons College,Delhi,C,2565,MBA,58.37,17.02,Accenture
Bora Ltd College,MH,C,1153,MBA,77.32,3.85,TCS
Sani-Chand College,WB,A,4516,B.Sc,49.5,18.25,Deloitte
Gola-Ravel College,UP,C,4518,MBA,93.52,11.94,Deloitte
Rege Group College,KA,B,3690,B.Tech,52.39,16.53,EY
"Shetty, Thaker and Panchal College",KA,B,1891,B.Sc,42.37,10.15,TCS
"Vaidya, Brar and Rai College",KA,B,2801,MBA,40.19,15.83,Wipro
"Luthra, Srivastava and Aurora College",WB,B,3248,B.Sc,92.8,14.35,TCS
Swamy LLC College,UP,C,3249,B.Sc,67.84,18.26,EY
"Sarkar, Sidhu and Borah College",TN,C,2885,B.Tech,87.36,10.51,Accenture
"Keer, Mangal and Nagarajan College",KA,B,1588,MCA,42.21,3.74,Wipro
Prasad PLC College,KA,A,3486,MCA,66.29,5.96,Infosys
"Dixit, Thaker and Maharaj College",KA,A,1023,MBA,36.45,7.82,EY
"Pandey, Sekhon and Pall College",TN,B,3619,B.Sc,86.94,5.17,Infosys
Mahajan Group College,WB,B,702,B.Tech,94.98,8.93,Accenture
Viswanathan-Bora College,MH,C,687,B.Sc,53.96,10.23,Infosys
"Kohli, Johal and Magar College",UP,B,1906,B.Sc,69.09,11.03,Accenture
"Chander, Chander and Kade College",Delhi,B,1822,MBA,30.73,5.11,Deloitte
Brahmbhatt-Keer College,TN,A,1469,MCA,50.8,4.29,Wipro
Singh LLC College,TN,A,4855,MBA,57.03,11.32,Accenture
Mannan Ltd College,Delhi,A,863,B.Tech,78.92,12.18,EY
Dhaliwal Inc College,MH,B,2110,B.Sc,56.61,3.59,Infosys
Shan-Balay College,KA,A,3783,MCA,72.7,9.33,Infosys
"Anand, Char and Mody College",UP,A,4297,MBA,65.28,4.48,EY
Sood PLC College,KA,B,1120,MBA,32.05,6.74,Wipro
"Vora, Nair and Wali College",TN,C,4811,B.Sc,90.82,7.04,TCS
"Kade, Soman and Mukherjee College",KA,B,2516,MBA,79.98,12.8,TCS
De LLC College,WB,B,2034,B.Sc,42.59,8.72,EY
"Jaggi, Walia and Naik College",KA,C,2452,B.Sc,97.64,8.38,Wipro
Ahuja-Ramaswamy College,Delhi,A,990,MBA,55.58,5.77,Infosys
"Ravi, Mukherjee and Butala College",MH,C,4948,MBA,54.55,15.59,EY
Shanker-Garg College,UP,C,2759,B.Sc,61.65,7.48,Deloitte
Ramakrishnan-Reddy College,Delhi,B,4916,MBA,65.22,8.14,EY
Puri PLC College,KA,B,1433,MBA,57.99,7.68,TCS
Sastry-Deshpande College,Delhi,B,767,B.Tech,42.42,11.96,TCS
"Mammen, Pant and Puri College",WB,C,4807,B.Sc,86.4,9.2,Accenture
Keer-Vala College,WB,C,3776,B.Sc,53.17,18.76,Accenture
Chad and Sons College,MH,B,4041,MCA,33.64,18.92,Accenture
Mander Group College,TN,B,4102,B.Sc,68.51,4.6,Wipro
"Mukherjee, Cheema and Shan College",WB,A,853,B.Sc,86.61,14.15,Infosys
Menon Ltd College,MH,C,3115,MCA,64.92,11.57,EY
Virk Ltd College,TN,A,3542,B.Sc,60.79,8.34,Wipro
"Raj, Amble and Vohra College",UP,A,2587,B.Tech,55.87,15.27,Accenture
"Sandhu, Mukherjee and Srinivasan College",MH,C,2943,MBA,70.87,12.5,EY
Basu-Korpal College,KA,A,3810,B.Tech,68.77,17.47,TCS
Varkey and Sons College,UP,A,1027,MCA,33.77,5.55,Accenture
"Nori, Prakash and Murty College",MH,B,4371,MBA,34.58,14.89,Wipro
Behl-Chaudhari College,WB,B,1222,MCA,52.45,4.68,Infosys
"Dyal, Rama and Mitter College",WB,B,2351,MBA,70.17,14.76,Wipro
Lata LLC College,MH,C,1899,B.Sc,47.61,9.61,EY
Swamy-Ganesan College,WB,B,2439,MBA,82.05,18.06,Deloitte
Ahuja and Sons College,WB,A,4911,B.Tech,64.06,4.85,Deloitte
Pall LLC College,KA,A,2903,MCA,76.91,4.87,Deloitte
Thakkar Group College,MH,B,2319,B.Sc,73.15,10.03,Accenture
Jaggi PLC College,KA,B,767,MCA,43.55,16.77,Deloitte
"Divan, Bhatia and Varma College",TN,B,3255,MBA,78.17,15.23,TCS
Chand LLC College,KA,A,4089,MBA,90.73,17,Wipro
"Sidhu, Mallick and Kanda College",TN,B,3137,B.Sc,87.84,16.7,Wipro
Barad Group College,TN,A,931,B.Sc,74.37,13.12,Wipro
Mandal PLC College,MH,C,1058,MCA,47.6,7.35,Wipro
"Dara, Rajagopal and Rajagopalan College",TN,A,4712,B.Sc,48.96,13.06,TCS
Pandit-Nagi College,MH,C,696,B.Tech,51.56,7.37,EY
"Parikh, Sen and Sarma College",KA,A,1255,MBA,73.96,17.61,EY
"Banerjee, Oak and Bhatti College",Delhi,B,600,MBA,72.79,18.59,Deloitte
Dixit-Puri College,TN,C,3791,B.Sc,32.41,18.08,Accenture
Pant-Mangal College,MH,A,4542,MBA,59.65,14.37,TCS
"Virk, Bhavsar and Bahri College",Delhi,A,1331,MBA,83.79,14.7,Infosys
Chopra-Srivastava College,Delhi,A,2731,B.Sc,97.23,16,Deloitte
Mani PLC College,WB,A,635,B.Sc,95.67,19.18,Wipro
Sur Group College,Delhi,C,4284,MBA,77.03,6.46,Infosys
Kashyap and Sons College,KA,C,4031,MCA,90.93,12.55,EY
Dua PLC College,UP,B,1087,MBA,47.03,6.78,Accenture
Dixit-Rege College,Delhi,C,583,B.Sc,83.27,13.41,TCS
Bobal-Behl College,WB,C,526,MBA,34.31,12.6,Wipro
Deshpande-Dora College,TN,B,3372,MCA,84.69,7,Deloitte
Sant-Ganesan College,MH,A,3696,B.Sc,46.43,15.54,EY
Lad Group College,TN,B,1467,B.Sc,73.01,10.33,Deloitte
Devan-Garg College,Delhi,C,4764,B.Tech,84,3.38,EY
Kulkarni-Lalla College,TN,C,1192,B.Tech,71.79,6.28,TCS
Dara LLC College,TN,B,2962,MCA,49.18,4.19,EY
Chaudhari-Solanki College,UP,B,4690,MCA,78.01,18.12,Accenture
"Boase, Tailor and Ahluwalia College",Delhi,B,2414,MBA,57.54,15.05,EY
Kala PLC College,MH,B,4893,MBA,92.25,18.57,EY
Gole-Mane College,UP,C,2004,MBA,93.25,9.31,EY
Gopal LLC College,Delhi,A,3933,MCA,87.27,5.49,Wipro
"Arora, Issac and Natarajan College",KA,C,4516,MBA,62.3,16.9,Infosys
"Acharya, Dara and Das College",KA,C,4120,B.Tech,99.39,4.03,EY
"Seshadri, Toor and Som College",MH,A,3149,MCA,61.93,10.07,TCS
Bansal Ltd College,TN,B,2499,B.Sc,89.48,18.58,Infosys
"Bhat, Warrior and Bhat College",Delhi,B,3242,MCA,39.99,12.66,Infosys
"Bath, Vasa and Pathak College",KA,C,794,B.Sc,59.63,11.8,Accenture
Bath LLC College,TN,B,2188,MCA,90.21,8.55,TCS
Bir-Sahota College,UP,B,1098,B.Sc,71.68,12.19,EY
"Yadav, Khosla and Mukherjee College",WB,C,4204,B.Sc,67.2,4.59,Accenture
Saini-Malhotra College,KA,B,1553,MCA,50.69,13.9,EY
Lalla-Bala College,MH,B,3400,MBA,39.42,12.52,Infosys
Gill-Amble College,WB,B,2018,MBA,72.98,16.73,Infosys
Choudhry-Natt College,Delhi,B,3994,B.Sc,88.01,8.63,Wipro
"Wable, Ramachandran and Ahuja College",UP,A,2697,B.Tech,32.31,15.64,Wipro
"Sibal, Puri and Trivedi College",TN,C,2537,B.Sc,80.11,12.67,Infosys
"Dixit, Sachdev and Parmar College",TN,A,4328,B.Sc,68.86,15.99,Infosys
Mangal-Kakar College,MH,B,3350,MBA,30.23,14.11,Accenture
Mander Group College,KA,B,569,MBA,53.9,14.29,Accenture
"Biswas, Tank and Dubey College",TN,A,2630,B.Sc,85.16,9.25,Wipro
"Anand, Deo and Kohli College",KA,B,833,B.Tech,90.42,9.4,EY
Murthy Ltd College,UP,B,4868,MBA,42.01,19.04,Wipro
Anand-Master College,UP,C,3347,MCA,74.58,4.07,Accenture
Saha-Chaudhary College,Delhi,B,3931,B.Tech,73.6,8.31,Wipro
Nair-Patla College,UP,A,3196,MBA,38.27,10.76,EY
Gulati-Dugar College,TN,A,3589,B.Tech,99.57,18.31,EY
Bera-Chandra College,TN,B,4632,MCA,79.66,12.25,Accenture
"Sekhon, Shah and Shah College",TN,A,1659,B.Tech,47.21,14.18,Infosys
"Prashad, Kadakia and Soni College",TN,C,4513,MCA,33.21,16.03,TCS
Chauhan-Mannan College,KA,C,2402,MBA,31.76,12.64,EY
Pandya Ltd College,TN,B,695,MBA,98.38,15.01,Infosys
"Raghavan, Bala and Tank College",WB,C,2523,MCA,88.46,4.36,EY
"Kale, Sur and Sen College",UP,B,3441,B.Tech,86.48,16.95,Infosys
Bansal PLC College,UP,C,4937,B.Tech,37.96,11.24,TCS
"Thaker, Mutti and Chad College",UP,B,3691,B.Sc,40.98,4.86,EY
Deshpande Inc College,WB,A,2299,MCA,63.94,17.43,TCS
Garg-Khatri College,MH,B,3901,B.Sc,38.85,12.09,Infosys
Rattan and Sons College,UP,B,4367,B.Tech,99.47,11.78,Deloitte
Bath-Wali College,Delhi,B,2896,MCA,33.06,3.35,EY
"Chakraborty, Kalla and Bera College",UP,C,3521,MCA,76.86,16.31,TCS
Seshadri Group College,Delhi,B,2903,MCA,81.73,17.71,EY
"Badal, Ravi and Sood College",MH,A,1278,B.Tech,98.75,14.54,TCS
"Mall, Dhawan and Srinivasan College",KA,A,2311,MCA,49.97,19.11,TCS
"Guha, Dasgupta and Minhas College",MH,B,4932,MCA,91.37,8.46,EY
Toor-Warrior College,TN,A,3637,B.Sc,96.8,6.26,TCS
Mann-Sastry College,TN,C,3603,B.Tech,84.82,4.9,Wipro
Desai Group College,Delhi,B,4913,B.Tech,90.61,18.99,Infosys
"Chopra, Gour and Doshi College",WB,B,1975,MBA,54.96,6.4,EY
Raghavan Ltd College,KA,C,1900,MCA,78.19,15.92,EY
Bhattacharyya and Sons College,TN,B,4062,MBA,58.91,6.98,Wipro
Reddy-Grover College,Delhi,B,3803,MCA,87.33,7.56,Deloitte
"Anand, Dugar and Gaba College",Delhi,A,2882,B.Sc,81.69,8,Infosys
Patil-Subramanian College,Delhi,C,4088,B.Tech,90.18,18.85,Deloitte
Sane Ltd College,TN,C,2504,MBA,66.8,4.3,Wipro
"Sarin, Aggarwal and Sampath College",TN,B,4549,B.Sc,41.74,17.82,Deloitte
"Cherian, Bhat and Murty College",MH,C,3646,B.Tech,46.83,16.68,Deloitte
Misra and Sons College,UP,A,4379,B.Tech,53.28,10.18,Accenture
Ben PLC College,WB,A,896,MCA,63.48,15.69,TCS
Toor-Dugar College,TN,C,4543,B.Tech,83.48,6.98,EY
Munshi and Sons College,TN,C,1222,B.Tech,50.71,14.99,EY
Bose-Suresh College,WB,A,3751,MBA,95.55,5.64,Infosys
Saha and Sons College,WB,A,3392,B.Sc,70.02,12.62,Wipro
"Palan, Chadha and Narang College",UP,A,2886,B.Sc,33.62,15.86,Accenture
Sethi-Thakkar College,WB,B,3621,MCA,41.64,15.24,TCS
Sibal-Khalsa College,WB,B,2351,B.Tech,69.35,7.69,TCS
Bhardwaj-Kade College,TN,C,592,B.Sc,41.79,19.4,Infosys
"Divan, Prakash and Bala College",Delhi,B,565,B.Tech,50.82,17.09,Accenture
Deo LLC College,WB,C,1720,MBA,46.06,7.36,Wipro
"Sinha, Sodhi and Kalita College",WB,C,3445,B.Tech,86.96,16.52,Accenture
"Borde, Bumb and Parsa College",MH,C,2486,B.Tech,97.29,7.93,Infosys
"Varkey, Bandi and Mangat College",Delhi,B,4178,MBA,92.3,17.37,Accenture
Bhardwaj-Dhar College,KA,B,756,B.Sc,58.22,5.39,Infosys
Dutt-Iyer College,Delhi,B,1788,B.Sc,75.59,15.71,TCS
"Gokhale, Lala and Bal College",KA,B,1795,B.Sc,77.63,10.61,EY
Madan-Parekh College,MH,A,1497,MCA,35.7,6.81,Wipro
Subramanian Inc College,WB,B,2574,B.Tech,67.18,8.29,EY
Sur Inc College,Delhi,C,4008,B.Sc,50.54,13.39,Infosys
Koshy PLC College,TN,A,2561,B.Sc,93.55,4.42,Deloitte
